dataset,pipeline,n_queries,em,f1,retrieval_hit_rate,median_f1,std_f1,fraction_zero_f1,em_ci_low,em_ci_high,f1_ci_low,f1_ci_high,rhr_ci_low,rhr_ci_high,avg_retrieval_latency_sec,avg_generation_latency_sec,avg_total_latency_sec
squad,dense,300,0.5633333333333334,0.6409259192246808,0.7433333333333333,1.0,0.4456346409231746,0.28,0.51,0.6233333333333333,0.5902904610009874,0.6909369189462069,0.6933333333333334,0.7933333333333333,0.010819705000002008,0.7012229033333423,0.7120426083333442
squad,hybrid,300,0.6133333333333333,0.6952277598132861,0.8233333333333334,1.0,0.42441735049775553,0.22666666666666666,0.56,0.6666666666666666,0.647509556720083,0.7431904761904762,0.7766666666666666,0.8633333333333333,0.011768946666670672,0.7218395026666523,0.7336084493333229
squad,sparse,300,0.62,0.7008494529349792,0.8166666666666667,1.0,0.42348563332064504,0.23,0.5666666666666667,0.6733333333333333,0.6517352786102786,0.7468155299865826,0.7733333333333333,0.86,0.0022975410000026387,0.7561975230000099,0.7584950640000124
trivia_qa,dense,300,0.37666666666666665,0.4580310457516339,0.8033333333333333,0.3666666666666667,0.46744789314655494,0.48,0.32,0.43,0.4037770774976657,0.5097063492063492,0.7566666666666667,0.85,0.016218897000001866,1.3268612063333345,1.3430801033333364
trivia_qa,hybrid,300,0.3933333333333333,0.46537078744541294,0.7966666666666666,0.4,0.4703165412402606,0.47,0.33666666666666667,0.44666666666666666,0.4152691409897292,0.5188452380952381,0.75,0.8433333333333334,0.10118500166666157,1.3140243033333248,1.4152093049999863
trivia_qa,sparse,300,0.3566666666666667,0.42865176421445766,0.7533333333333333,0.0,0.4663580365240298,0.5066666666666667,0.30333333333333334,0.41,0.3792397660818713,0.48006083837043584,0.7033333333333334,0.8033333333333333,0.07656820533333605,1.3212644866666885,1.3978326920000246
